option_id,wargear_id,action
IH_WR_BANNER_SHIELD,WG_BANNER,grant
IH_WR_BANNER_SHIELD,WG_SHIELD,grant
IH_WR_BANNER,WG_BANNER,grant
IH_WR_SHIELD_SPEAR,WG_SHIELD,grant
IH_WR_SHIELD_SPEAR,WG_SPEAR,grant
IH_WR_CROSSBOW,WG_CROSSBOW,grant
IH_WR_MATTOCK,WG_MATTOCK,grant
IH_CAP_MATTOCK,WG_SHIELD,remove
IH_CAP_MATTOCK,WG_SPEAR,remove
IH_CAP_MATTOCK,WG_MATTOCK,grant
IH_GR_MATTOCK,WG_WAR_SPEAR,remove
IH_GR_MATTOCK,WG_MATTOCK,grant
DALE_WARRIOR_BANNER,WG_BANNER,grant
DALE_WARRIOR_WAR_HORN,WG_WAR_HORN,grant
DALE_WARRIOR_ESGAROTH_BOW,WG_ESGAROTH_BOW,grant
DALE_WARRIOR_SHIELD_SPEAR,WG_SHIELD,grant
DALE_WARRIOR_SHIELD_SPEAR,WG_SPEAR,grant
DALE_WARRIOR_SHIELD,WG_SHIELD,grant
