heroic_action_id,ability_tag_id,weight
HEROIC_MOVE,COMMAND,1.5
HEROIC_MOVE,CONTROL,1.5
HEROIC_MOVE,OBJECTIVE,1.0
HEROIC_SHOOT,SHOOTING,1.0
HEROIC_SHOOT,COMMAND,1.0
HEROIC_COMBAT,OFFENCE,1.25
HEROIC_COMBAT,MOBILITY,1.25
HEROIC_STRIKE,OFFENCE,1.0
HEROIC_STRIKE,HERO_HUNTING,1.0
HEROIC_STRENGTH,OFFENCE,1.25
HEROIC_STRENGTH,HERO_HUNTING,1.0
HEROIC_DEFENCE,DEFENCE,1.5
HEROIC_CHALLENGE,HERO_HUNTING,1.5
HEROIC_CHALLENGE,CONTROL,0.75
HEROIC_CHANNELING,MAGIC,0.75
HEROIC_MARCH,MOBILITY,1.25
HEROIC_MARCH,OBJECTIVE,1.0
HEROIC_ACCURACY,SHOOTING,1.25
HEROIC_ACCURACY,COMMAND,1.0
HEROIC_RESOLVE,MAGIC,0.75
HEROIC_RESOLVE,COURAGE,1.25
