special_rule_id,ability_tag_id,weight
DOMINANT,OBJECTIVE,1.5
HARBINGER_OF_EVIL,COURAGE,1.0
SPECTRAL_WALK,MOBILITY,1.5
TERROR,COURAGE,1.5
TERROR,CONTROL,1.0
WILL_OF_EVIL,MAGIC,1.0
HE_CANNOT_YET_TAKE_PHYSICAL_FORM,DEFENCE,1.5
DRAIN_SOUL,OFFENCE,1.75
MASTER_OF_THE_NAZGUL,DEFENCE,1.0
UNHOLY_RESURRECTION,DEFENCE,2.0
EXECUTIONER,OFFENCE,1.25
BANE_OF_KINGS,OFFENCE,1.75
BANE_OF_KINGS,SHOOTING,1.0
UNNATURAL_SPEED,MOBILITY,1.5
SPIRITUAL_DISPLACEMENT,MOBILITY,1.5
ANGMAR_ARISE_SOM,HERO_HUNTING,1.75
POISONED_ATTACKS,OFFENCE,1.0
POISONED_ATTACKS,SHOOTING,0.5
SWIFT_MOVEMENT,MOBILITY,1.25
SPIDER_WEBS,CONTROL,1.75
STALK_UNSEEN,DEFENCE,1.25
SILENT_HUNTERS,DEFENCE,1.0
