id,name,category
DOMINANT,Dominant,COMMAND
HARBINGER_OF_EVIL,Harbinger of Evil,COURAGE
SPECTRAL_WALK,Spectral Walk,MOVEMENT
TERROR,Terror,COURAGE
WILL_OF_EVIL,Will of Evil,MAGIC
HE_CANNOT_YET_TAKE_PHYSICAL_FORM,He Cannot Yet Take Physical Form,SPECIAL
DRAIN_SOUL,Drain Soul,OFFENCE
MASTER_OF_THE_NAZGUL,Master of the Nazgûl,COMMAND
UNHOLY_RESURRECTION,Unholy Resurrection,SPECIAL
EXECUTIONER,Executioner,OFFENCE
BANE_OF_KINGS,Bane of Kings,OFFENCE
UNNATURAL_SPEED,Unnatural Speed,MOVEMENT
SPIRITUAL_DISPLACEMENT,Spiritual Displacement,MOVEMENT
ANGMAR_ARISE_SOM,Angmar Arise,OFFENCE
POISONED_ATTACKS,Poisoned Attacks,OFFENCE
SWIFT_MOVEMENT,Swift Movement,MOVEMENT
SPIDER_WEBS,Spider Webs,SPECIAL
STALK_UNSEEN,Stalk Unseen,DEFENCE
SILENT_HUNTERS,Silent Hunters,DEFENCE
BURLY,Burly,SPECIAL
ANCIENT_ENEMIES,Ancient Enemies,OFFENCE
BACKSTABBERS,Backstabbers,OFFENCE
BLADES_OF_THE_DEAD,Blades of the Dead,OFFENCE
HATRED,Hatred,OFFENCE
MIGHTY_BLOW,Mighty Blow,OFFENCE
VENOM,Venom,OFFENCE
XBANE,Xbane,OFFENCE
